time,city,speed_kt,deg
2026-03-10 10:40:00,Pacitan,4.9,269
2026-03-10 10:40:00,Dhoho,9.0,166
2026-03-10 10:50:00,Juanda,1.3,53
2026-03-10 10:50:00,Perak,4.5,327
2026-03-10 10:50:00,Bawean,14.2,281
2026-03-10 10:50:00,Kalianget,3.8,320
2026-03-10 10:50:00,Banyuwangi,4.6,217
2026-03-10 10:50:00,KarangPloso,3.9,211
2026-03-10 10:50:00,Tretes,3.5,189
2026-03-10 10:50:00,KarangKates,2.0,245
2026-03-10 10:50:00,Sawahan,3.1,212
2026-03-10 10:50:00,Tuban,6.6,273
2026-03-10 10:50:00,Pacitan,4.9,269
2026-03-10 10:50:00,Dhoho,9.0,166
2026-03-10 11:00:00,Juanda,1.3,53
2026-03-10 11:00:00,Perak,4.5,327
2026-03-10 11:00:00,Bawean,14.2,281
2026-03-10 11:00:00,Kalianget,3.8,320
2026-03-10 11:00:00,Banyuwangi,4.6,217
2026-03-10 11:00:00,KarangPloso,3.9,211
2026-03-10 11:00:00,Tretes,3.5,189
2026-03-10 11:00:00,KarangKates,2.0,245
2026-03-10 11:00:00,Sawahan,3.1,212
2026-03-10 11:00:00,Tuban,6.6,273
2026-03-10 11:00:00,Pacitan,4.9,269
2026-03-10 11:00:00,Dhoho,9.0,166
2026-03-10 11:10:00,Juanda,6.0,330
2026-03-10 11:10:00,Perak,4.5,327
2026-03-10 11:10:00,Bawean,14.2,281
2026-03-10 11:10:00,Kalianget,3.8,320
2026-03-10 11:10:00,Banyuwangi,4.6,217
2026-03-10 11:10:00,KarangPloso,3.9,211
2026-03-10 11:10:00,Tretes,3.5,189
2026-03-10 11:10:00,KarangKates,2.0,245
2026-03-10 11:10:00,Sawahan,3.1,212
2026-03-10 11:10:00,Tuban,6.6,273
2026-03-10 11:10:00,Pacitan,4.9,269
2026-03-10 11:10:00,Dhoho,9.0,166
2026-03-10 11:20:00,Juanda,1.3,53
2026-03-10 11:20:00,Perak,4.5,327
2026-03-10 11:20:00,Bawean,14.2,281
2026-03-10 11:20:00,Kalianget,3.8,320
2026-03-10 11:20:00,Banyuwangi,4.6,217
2026-03-10 11:20:00,KarangPloso,3.9,211
2026-03-10 11:20:00,Tretes,3.5,189
2026-03-10 11:20:00,KarangKates,2.0,245
2026-03-10 11:20:00,Sawahan,3.1,212
2026-03-10 11:20:00,Tuban,6.6,273
2026-03-10 11:20:00,Pacitan,4.9,269
2026-03-10 11:20:00,Dhoho,9.0,166
2026-03-10 11:30:00,Juanda,1.7,81
2026-03-10 11:30:00,Perak,3.5,349
2026-03-10 11:30:00,Bawean,14.6,285
2026-03-10 11:30:00,Kalianget,4.5,302
2026-03-10 11:30:00,Banyuwangi,3.9,230
2026-03-10 11:30:00,KarangPloso,3.3,213
2026-03-10 11:30:00,Tretes,4.3,192
2026-03-10 11:30:00,KarangKates,1.2,288
2026-03-10 11:30:00,Sawahan,3.6,209
2026-03-10 11:30:00,Tuban,5.6,286
2026-03-10 11:30:00,Pacitan,5.0,277
2026-03-10 11:30:00,Dhoho,8.1,176
2026-03-10 11:40:00,Juanda,1.7,81
2026-03-10 11:40:00,Perak,3.5,349
2026-03-10 11:40:00,Bawean,14.6,285
2026-03-10 11:40:00,Kalianget,4.5,302
2026-03-10 11:40:00,Banyuwangi,3.9,230
2026-03-10 11:40:00,KarangPloso,3.3,213
2026-03-10 11:40:00,Tretes,4.3,192
2026-03-10 11:40:00,KarangKates,1.2,288
2026-03-10 11:40:00,Sawahan,3.6,209
2026-03-10 11:40:00,Tuban,5.6,286
2026-03-10 11:40:00,Pacitan,5.0,277
2026-03-10 11:40:00,Dhoho,8.1,176
2026-03-10 11:50:00,Juanda,1.3,53
2026-03-10 11:50:00,Perak,3.0,290
2026-03-10 11:50:00,Bawean,13.9,283
2026-03-10 11:50:00,Kalianget,5.1,309
2026-03-10 11:50:00,Banyuwangi,3.9,230
2026-03-10 11:50:00,KarangPloso,3.2,209
2026-03-10 11:50:00,Tretes,4.1,192
2026-03-10 11:50:00,KarangKates,1.2,288
2026-03-10 11:50:00,Sawahan,3.1,206
2026-03-10 11:50:00,Tuban,5.4,279
2026-03-10 11:50:00,Pacitan,5.0,279
2026-03-10 11:50:00,Dhoho,8.1,174
2026-03-10 12:00:00,Juanda,1.3,53
2026-03-10 12:00:00,Perak,3.6,338
2026-03-10 12:00:00,Bawean,13.9,283
2026-03-10 12:00:00,Kalianget,5.1,309
2026-03-10 12:00:00,Banyuwangi,3.6,232
2026-03-10 12:00:00,KarangPloso,3.2,209
2026-03-10 12:00:00,Tretes,4.1,192
2026-03-10 12:00:00,KarangKates,0.8,257
2026-03-10 12:00:00,Sawahan,3.1,206
2026-03-10 12:00:00,Tuban,5.4,279
2026-03-10 12:00:00,Pacitan,5.0,279
2026-03-10 12:00:00,Dhoho,8.1,174
2026-03-10 12:10:00,Juanda,1.3,53
2026-03-10 12:10:00,Perak,3.6,338
2026-03-10 12:10:00,Bawean,13.9,283
2026-03-10 12:10:00,Kalianget,5.1,309
2026-03-10 12:10:00,Banyuwangi,3.6,232
2026-03-10 12:10:00,KarangPloso,3.2,209
2026-03-10 12:10:00,Tretes,4.1,192
2026-03-10 12:10:00,KarangKates,0.8,257
2026-03-10 12:10:00,Sawahan,3.1,206
2026-03-10 12:10:00,Tuban,5.4,279
2026-03-10 12:10:00,Pacitan,5.0,279
2026-03-10 12:10:00,Dhoho,8.1,174
2026-03-10 12:20:00,Juanda,1.3,53
2026-03-10 12:20:00,Perak,3.6,338
2026-03-10 12:20:00,Bawean,13.9,283
2026-03-10 12:20:00,Kalianget,5.1,309
2026-03-10 12:20:00,Banyuwangi,3.6,232
2026-03-10 12:20:00,KarangPloso,3.2,209
2026-03-10 12:20:00,Tretes,4.1,192
2026-03-10 12:20:00,KarangKates,0.8,257
2026-03-10 12:20:00,Sawahan,3.1,206
2026-03-10 12:20:00,Tuban,5.4,279
2026-03-10 12:20:00,Pacitan,5.0,279
2026-03-10 12:20:00,Dhoho,8.1,174
2026-03-10 12:30:00,Juanda,0.4,77
2026-03-10 12:30:00,Perak,3.6,338
2026-03-10 12:30:00,Bawean,14.1,282
2026-03-10 12:30:00,Kalianget,5.7,292
2026-03-10 12:30:00,Banyuwangi,3.4,238
2026-03-10 12:30:00,KarangPloso,3.2,214
2026-03-10 12:30:00,Tretes,4.1,198
2026-03-10 12:30:00,KarangKates,1.0,268
2026-03-10 12:30:00,Sawahan,3.2,205
2026-03-10 12:30:00,Tuban,5.4,279
2026-03-10 12:30:00,Pacitan,4.3,274
2026-03-10 12:30:00,Dhoho,6.5,184
2026-03-10 12:40:00,Juanda,2.0,10
2026-03-10 12:40:00,Perak,2.6,329
2026-03-10 12:40:00,Bawean,14.1,282
2026-03-10 12:40:00,Kalianget,5.7,292
2026-03-10 12:40:00,Banyuwangi,3.4,238
2026-03-10 12:40:00,KarangPloso,3.2,214
2026-03-10 12:40:00,Tretes,4.1,198
2026-03-10 12:40:00,KarangKates,1.0,268
2026-03-10 12:40:00,Sawahan,3.2,205
2026-03-10 12:40:00,Tuban,4.6,272
2026-03-10 12:40:00,Pacitan,4.3,274
2026-03-10 12:40:00,Dhoho,6.5,184
2026-03-10 12:50:00,Juanda,0.4,77
2026-03-10 12:50:00,Perak,2.6,329
2026-03-10 12:50:00,Bawean,14.1,282
2026-03-10 12:50:00,Kalianget,5.7,292
2026-03-10 12:50:00,Banyuwangi,3.4,238
2026-03-10 12:50:00,KarangPloso,3.2,214
2026-03-10 12:50:00,Tretes,4.1,198
2026-03-10 12:50:00,KarangKates,1.0,268
2026-03-10 12:50:00,Sawahan,3.2,205
